product_slug,product_name,product_type,platform,original_path,file_type,copied_to,confidence,matched_signals,notes
build-summary,Build Summary,product,payhip,BUILD_SUMMARY.md,.md,marketplace-product-organization/payhip/build-summary/source-files/build-summary.md,high,"product, products, download, digital product, pdf, guide, checklist, sales page, launch, shop, collection",
build-summary,Build Summary,product,etsy,BUILD_SUMMARY.md,.md,marketplace-product-organization/etsy/build-summary/source-files/build-summary.md,high,"product, products, download, digital product, pdf, guide, checklist, sales page, launch, shop, collection",
deployment,Deployment,product,payhip,DEPLOYMENT.md,.md,marketplace-product-organization/payhip/deployment/source-files/deployment.md,medium,"product, products, pdf, guide, checklist, gumroad",
deployment,Deployment,product,etsy,DEPLOYMENT.md,.md,marketplace-product-organization/etsy/deployment/source-files/deployment.md,medium,"product, products, pdf, guide, checklist, gumroad",
domain-organization-prompt,Domain Organization Prompt,product,payhip,domain-organization-prompt.txt,.txt,marketplace-product-organization/payhip/domain-organization-prompt/source-files/domain-organization-prompt.txt,high,"product, listing, listings, download, digital product, pdf, workbook, worksheet, guide, toolkit, bundle, companion, lead magnet, opt-in, resource, resources, sales page, launch, gumroad, shop, shopify, storefront, printify, apparel, mockup, collection, awareness, merch, merchandise",
domain-organization-prompt,Domain Organization Prompt,product,etsy,domain-organization-prompt.txt,.txt,marketplace-product-organization/etsy/domain-organization-prompt/source-files/domain-organization-prompt.txt,high,"product, listing, listings, download, digital product, pdf, workbook, worksheet, guide, toolkit, bundle, companion, lead magnet, opt-in, resource, resources, sales page, launch, gumroad, shop, shopify, storefront, printify, apparel, mockup, collection, awareness, merch, merchandise",
quickstart,Quickstart,product,payhip,QUICKSTART.md,.md,marketplace-product-organization/payhip/quickstart/source-files/quickstart.md,medium,"product, products, pdf, guide, shop",
quickstart,Quickstart,product,etsy,QUICKSTART.md,.md,marketplace-product-organization/etsy/quickstart/source-files/quickstart.md,medium,"product, products, pdf, guide, shop",
readme,Readme,product,payhip,README.md,.md,marketplace-product-organization/payhip/readme/source-files/readme.md,low,"template, resource, resources",Review before publishing.
readme,Readme,product,etsy,README.md,.md,marketplace-product-organization/etsy/readme/source-files/readme.md,low,"template, resource, resources",Review before publishing.
